# Datacard for <Channel (ggFpt500toInf) instance at 0x7f337b074ee0> generated on 2025-02-17 10:11:30.484496
imax 1 # number of categories ('bins' but here we are using shape templates)
jmax 13 # number of samples minus 1
kmax 158 # number of nuisance parameters
shapes * ggFpt500toInf testModel.root testModel:ggFpt500toInf_$PROCESS testModel:ggFpt500toInf_$PROCESS_$SYSTEMATIC
bin ggFpt500toInf
observation 162.000
bin                                                                   ggFpt500toInf    ggFpt500toInf    ggFpt500toInf    ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf
process                                                        qqH_hww_mjj_1000_Inf  ggH_hww_200_300  ggH_hww_300_450  ggH_hww_450_Inf         WH_hww         ZH_hww        ttH_hww          ttbar          wjets      singletop          zjets        diboson       ewkvjets           fake
process                                                                          -6               -5               -4               -3             -2             -1              0              1              2              3              4              5              6              7
rate                                                                          0.759            0.000            0.443            5.210          0.762          0.425          0.151         36.699        116.316          4.174          1.063         17.559          9.434          0.118
BR_hww lnN                                                            0.9848/1.0153                -    0.9848/1.0153    0.9848/1.0153  0.9848/1.0153  0.9848/1.0153  0.9848/1.0153              -              -              -              -              -              -              -
CMS_HWW_boosted_EW_unc lnN                                                        -                -                -                -  0.8094/1.2408  0.8116/1.2387  0.8363/1.2086              -              -              -              -              -              -              -
CMS_HWW_boosted_FakeRate_EWK_SF_statistical_uncertainty shape                     -                -                -                -              -              -              -              -              -              -              -              -              -         1.0000
CMS_HWW_boosted_FakeRate_statistical_uncertainty shape                            -                -                -                -              -              -              -              -              -              -              -              -              -         1.0000
CMS_HWW_boosted_Fake_SF_uncertainty lnN                                           -                -                -                -              -              -              -              -              -              -              -              -              -         1.2500
CMS_scale_j_Abs lnN                                                          1.0033                -    1.0907/1.1033    1.0519/1.0691  1.0531/1.0694  1.0504/1.0692  1.0116/1.0532  0.9892/1.0031  1.0024/1.0141         1.0023         1.0118         1.0036         1.0052              -
CMS_scale_j_Abs_2016 lnN                                                     1.0033                -    1.0593/1.0944           1.0644         1.0611         1.0597         1.0628         1.0077         1.0068         1.0023         1.0118         1.0036         1.0052              -
CMS_scale_j_Abs_2016APV lnN                                           0.9749/1.0033                -    1.0593/1.0944           1.0675         1.0650         1.0642         1.0649         1.0139         1.0068         1.0023         1.0118         1.0036         1.0052              -
CMS_scale_j_Abs_2017 lnN                                                     1.0033                -           1.0593           1.0609         1.0632         1.0621         1.0628         1.0036         1.0076         1.0023  1.0118/1.0248         1.0036         1.0052              -
CMS_scale_j_Abs_2018 lnN                                                     1.0033                -    1.0593/1.0907           1.0601         1.0646         1.0617  1.0116/1.0628         1.0067         1.0112         1.0023         1.0118         1.0036  0.9444/1.0052              -
CMS_scale_j_BBEC1 lnN                                                        1.0033                -    1.0593/1.1040           1.0607         1.0663         1.0638  0.9999/1.0628         1.0058         1.0093         1.0023         1.0118         1.0036         1.0052              -
CMS_scale_j_BBEC1_2016 lnN                                                   1.0033                -           1.0593           1.0631         1.0611         1.0597         1.0628         1.0067         1.0062         1.0023         1.0118         1.0036         1.0052              -
CMS_scale_j_BBEC1_2016APV lnN                                                1.0033                -    1.0593/1.0929           1.0631         1.0611         1.0602  1.0469/1.0808         1.0068         1.0062         1.0023         1.0118         1.0036         1.0052              -
CMS_scale_j_BBEC1_2017 lnN                                                   1.0033                -           1.0593           1.0626         1.0611         1.0625  1.0510/1.0628         1.0036         1.0075         1.0023         1.0118         1.0036         1.0052              -
CMS_scale_j_BBEC1_2018 lnN                                                   1.0033                -    1.0593/1.0907           1.0601         1.0636         1.0597  1.0116/1.0628         1.0067         1.0064         1.0023         1.0118         1.0036         1.0052              -
